,1,2,3,4,5,6,7,8,9,10,11,12
S1,1,1,1,1,1,1,1,1,1,1,1,1
S2,1,1,1,1,1,1,1,1,1,1,1,1
S3,1,1,1,1,1,1,1,1,1,1,1,1
S4,1,1,1,1,1,1,1,1,1,1,1,1
S5,1,1,1,1,1,1,1,1,1,1,1,1
S6,1,1,1,1,1,1,1,1,1,1,1,1
S7,2,1,1,1,1,1,1,2,2,1,1,1
S8,2,1,1,1,1,1,1,2,2,1,1,1
S9,2,1,1,1,1,1,1,2,2,1,1,1
S10,2,1,1,1,1,1,1,2,2,1,1,1
S11,2,1,1,1,1,1,1,2,2,1,1,1
S12,2,1,1,1,1,1,1,2,2,1,1,1
S13,2,1,1,1,1,1,1,2,2,1,1,1
S14,2,1,1,1,1,1,1,2,2,1,1,1
S15,2,1,1,1,1,1,1,2,2,1,1,1
S16,3,2,2,3,3,2,2,2,3,2,1,2
S17,3,2,2,3,3,2,2,2,3,2,1,2
S18,3,2,2,3,3,2,2,2,3,2,1,2
S19,3,2,2,3,3,2,2,2,3,2,1,2
S20,3,2,2,3,3,2,2,2,3,2,1,2
S21,3,2,2,3,3,2,2,2,3,2,1,2
S22,3,2,2,3,3,2,2,2,3,2,1,2
S23,4,2,2,2,2,2,2,2,2,3,1,3
S24,4,2,2,2,2,2,2,2,2,3,1,3
S25,4,2,2,2,2,2,2,2,2,3,1,3
S26,4,2,2,2,2,2,2,2,2,3,1,3
S27,4,2,2,2,2,2,2,2,2,3,1,3
S28,4,2,2,2,2,2,2,2,2,3,1,3
S29,4,2,2,2,2,2,2,2,2,3,1,3
S30,4,2,2,2,2,2,2,2,2,3,1,3
S31,4,2,2,2,2,2,2,2,2,3,1,3
S32,4,2,2,2,2,2,2,2,2,3,1,3
S33,4,2,2,2,2,2,2,2,2,3,1,3
S34,5,2,2,2,2,3,2,2,2,4,2,4
S35,5,2,2,2,2,3,2,2,2,4,2,4
S36,5,2,2,2,2,3,2,2,2,4,2,4
S37,5,2,2,2,2,3,2,2,2,4,2,4
S38,5,2,2,2,2,3,2,2,2,4,2,4
S39,6,2,2,2,2,2,2,2,2,1,1,1
S40,6,2,2,2,2,2,2,2,2,1,1,1
S41,6,2,2,2,2,2,2,2,2,1,1,1
S42,6,2,2,2,2,2,2,2,2,1,1,1
